Precip	Max Temp	Min Temp	Wind Speed
0.0	1.03	-15.84	3.48
0.225	-1.73	-13.35	3.73
0.0	-2.99	-17.0	4.25
0.55	-1.19	-11.3	3.91
0.0	2.95	-5.26	3.31
3.475	3.74	-4.45	3.7
14.0	3.06	-5.12	4.11
0.0	0.47	-11.94	3.96
0.0	0.88	-11.52	3.99
0.0	6.43	-8.97	4.28
0.225	3.91	-5.4	3.77
0.0	2.21	-1.93	3.96
0.0	4.7	-6.02	3.93
0.0	6.59	-4.82	3.79
0.0	7.62	-6.88	3.83
1.025	9.54	-5.43	3.78
5.6	4.52	-3.94	3.96
0.6	-1.53	-6.1	3.95
1.725	-2.28	-10.31	3.89
7.475	-2.29	-9.73	3.86
1.1	-2.7	-15.33	4.15
8.2	-3.81	-11.55	4.13
7.625	-8.04	-18.63	4.25
0.0	-6.39	-8.14	4.01
0.0	-4.22	-13.61	4.11
0.0	-0.44	-13.83	3.81
0.0	-2.56	-15.69	4.25
0.75	-9.39	-15.11	3.7
0.0	-7.23	-13.5	3.93
0.15	-0.39	-17.3	3.63
12.025	5.96	-11.16	3.27
7.925	0.95	-3.1	3.98
5.275	-2.79	-6.06	3.2
0.0	-2.59	-7.3	3.77
0.0	1.34	-6.75	4.07
2.75	2.95	-3.49	3.3
0.0	-4.16	-7.87	3.2
0.0	-7.4	-11.2	3.41
0.0	-4.02	-11.8	3.36
0.0	-1.62	-12.75	3.38
0.0	1.05	-10.49	4.15
0.0	7.87	-4.86	3.86
0.4	6.19	0.07	3.78
0.075	10.99	-0.53	3.98
	13.52	4.78	3.6
0.0	5.03	-0.31	4.01
0.0	2.46	-5.87	4.01
0.0	6.9	-6.87	3.45
0.0	9.42	-3.5	3.58
0.0	12.35	-3.17	3.83
0.0	15.22	-1.19	3.71
0.225	10.92	-0.27	3.84
0.925	12.17	3.84	3.91
23.275	12.82	5.26	3.59
0.0	4.1	-0.29	3.78
0.0	1.4	-0.91	3.79
0.0	3.57	-4.94	3.75
0.0	4.14	-6.87	3.66
0.0	3.47	-6.75	3.35
0.0	6.74	-8.05	3.85
0.0	3.74	-5.65	3.81
0.0	26.4		3.71
0.0	2.58	-5.77	3.95
13.4	7.15	-2.42	3.9
4.3	4.25	-1.12	3.75
0.775	3.65	-2.49	3.79
0.0	6.48	-2.59	3.72
0.0	9.67	-6.05	3.72
0.0	9.07	-4.71	3.39
0.0	8.96	-3.15	3.7
0.0	10.45	-5.57	3.55
0.0	13.03	-2.89	3.53
0.0	14.14	-3.18	3.72
2.825	8.93	-0.09	3.56
0.475	8.11	-0.52	3.28
0.0	7.63	-6.23	3.29
0.0	7.59	-2.81	3.21
	8.19	-0.92	3.53
0.15	5.64	-3.22	3.5
0.0	6.19	-2.68	3.96
0.0	5.43	-2.55	3.73
0.0	9.04	-1.25	3.27
